"phi_g1_eig_1","Points:0","Points:1","Points:2"
3.7447,0,8.967,0
3.7451,0.01,8.967,0
3.7454,0.02,8.967,0
3.7458,0.03,8.967,0
3.7462,0.04,8.967,0
3.7465,0.05,8.967,0
3.7469,0.06,8.967,0
3.7473,0.07,8.967,0
3.7476,0.08,8.967,0
3.748,0.09,8.967,0
3.7484,0.1,8.967,0
3.7487,0.11,8.967,0
3.7491,0.12,8.967,0
3.7498,0.13,8.967,0
3.7509,0.14,8.967,0
3.752,0.15,8.967,0
3.7531,0.16,8.967,0
3.7542,0.17,8.967,0
3.7553,0.18,8.967,0
3.7564,0.19,8.967,0
3.7575,0.2,8.967,0
3.7586,0.21,8.967,0
3.7597,0.22,8.967,0
3.7608,0.23,8.967,0
3.7619,0.24,8.967,0
3.763,0.25,8.967,0
3.7649,0.26,8.967,0
3.7667,0.27,8.967,0
3.7686,0.28,8.967,0
3.7704,0.29,8.967,0
3.7722,0.3,8.967,0
3.7741,0.31,8.967,0
3.7759,0.32,8.967,0
3.7778,0.33,8.967,0
3.7796,0.34,8.967,0
3.7814,0.35,8.967,0
3.7833,0.36,8.967,0
3.7851,0.37,8.967,0
3.7873,0.38,8.967,0
3.7899,0.39,8.967,0
3.7925,0.4,8.967,0
3.7951,0.41,8.967,0
3.7976,0.42,8.967,0
3.8002,0.43,8.967,0
3.8028,0.44,8.967,0
3.8054,0.45,8.967,0
3.8079,0.46,8.967,0
3.8105,0.47,8.967,0
3.8131,0.48,8.967,0
3.8157,0.49,8.967,0
3.8183,0.5,8.967,0
3.8216,0.51,8.967,0
3.8249,0.52,8.967,0
3.8282,0.53,8.967,0
3.8315,0.54,8.967,0
3.8348,0.55,8.967,0
3.8381,0.56,8.967,0
3.8414,0.57,8.967,0
3.8447,0.58,8.967,0
3.8481,0.59,8.967,0
3.8514,0.6,8.967,0
3.8547,0.61,8.967,0
3.858,0.62,8.967,0
3.8616,0.63,8.967,0
3.8656,0.64,8.967,0
3.8696,0.65,8.967,0
3.8736,0.66,8.967,0
3.8776,0.67,8.967,0
3.8816,0.68,8.967,0
3.8856,0.69,8.967,0
3.8896,0.7,8.967,0
3.8936,0.71,8.967,0
3.8976,0.72,8.967,0
3.9016,0.73,8.967,0
3.9056,0.74,8.967,0
3.9096,0.75,8.967,0
3.9141,0.76,8.967,0
3.9186,0.77,8.967,0
3.9231,0.78,8.967,0
3.9276,0.79,8.967,0
3.9321,0.8,8.967,0
3.9366,0.81,8.967,0
3.9412,0.82,8.967,0
3.9457,0.83,8.967,0
3.9502,0.84,8.967,0
3.9547,0.85,8.967,0
3.9592,0.86,8.967,0
3.9637,0.87,8.967,0
3.9679,0.88,8.967,0
3.972,0.89,8.967,0
3.976,0.9,8.967,0
3.98,0.91,8.967,0
3.984,0.92,8.967,0
3.988,0.93,8.967,0
3.9921,0.94,8.967,0
3.9961,0.95,8.967,0
4.0001,0.96,8.967,0
4.0041,0.97,8.967,0
4.0082,0.98,8.967,0
4.0122,0.99,8.967,0
4.0162,1,8.967,0
4.0209,1.01,8.967,0
4.0256,1.02,8.967,0
4.0303,1.03,8.967,0
4.035,1.04,8.967,0
4.0397,1.05,8.967,0
4.0444,1.06,8.967,0
4.0491,1.07,8.967,0
4.0538,1.08,8.967,0
4.0584,1.09,8.967,0
4.0631,1.1,8.967,0
4.0678,1.11,8.967,0
4.0725,1.12,8.967,0
4.0768,1.13,8.967,0
4.0805,1.14,8.967,0
4.0843,1.15,8.967,0
4.088,1.16,8.967,0
4.0918,1.17,8.967,0
4.0955,1.18,8.967,0
4.0993,1.19,8.967,0
4.103,1.2,8.967,0
4.1068,1.21,8.967,0
4.1105,1.22,8.967,0
4.1143,1.23,8.967,0
4.118,1.24,8.967,0
4.1218,1.25,8.967,0
4.1235,1.26,8.967,0
4.1253,1.27,8.967,0
4.1271,1.28,8.967,0
4.1289,1.29,8.967,0
4.1306,1.3,8.967,0
4.1324,1.31,8.967,0
4.1342,1.32,8.967,0
4.136,1.33,8.967,0
4.1377,1.34,8.967,0
4.1395,1.35,8.967,0
4.1413,1.36,8.967,0
4.1431,1.37,8.967,0
4.1438,1.38,8.967,0
4.1434,1.39,8.967,0
4.143,1.4,8.967,0
4.1427,1.41,8.967,0
4.1423,1.42,8.967,0
4.1419,1.43,8.967,0
4.1416,1.44,8.967,0
4.1412,1.45,8.967,0
4.1408,1.46,8.967,0
4.1404,1.47,8.967,0
4.1401,1.48,8.967,0
4.1397,1.49,8.967,0
4.1393,1.5,8.967,0
4.1368,1.51,8.967,0
4.1343,1.52,8.967,0
4.1318,1.53,8.967,0
4.1292,1.54,8.967,0
4.1267,1.55,8.967,0
4.1242,1.56,8.967,0
4.1216,1.57,8.967,0
4.1191,1.58,8.967,0
4.1166,1.59,8.967,0
4.1141,1.6,8.967,0
4.1115,1.61,8.967,0
4.109,1.62,8.967,0
4.1054,1.63,8.967,0
4.1008,1.64,8.967,0
4.0961,1.65,8.967,0
4.0915,1.66,8.967,0
4.0868,1.67,8.967,0
4.0822,1.68,8.967,0
4.0775,1.69,8.967,0
4.0729,1.7,8.967,0
4.0682,1.71,8.967,0
4.0636,1.72,8.967,0
4.059,1.73,8.967,0
4.0543,1.74,8.967,0
4.0497,1.75,8.967,0
4.0431,1.76,8.967,0
4.0365,1.77,8.967,0
4.0299,1.78,8.967,0
4.0233,1.79,8.967,0
4.0167,1.8,8.967,0
4.0101,1.81,8.967,0
4.0035,1.82,8.967,0
3.997,1.83,8.967,0
3.9904,1.84,8.967,0
3.9838,1.85,8.967,0
3.9772,1.86,8.967,0
3.9706,1.87,8.967,0
3.9635,1.88,8.967,0
3.956,1.89,8.967,0
3.9485,1.9,8.967,0
3.941,1.91,8.967,0
3.9334,1.92,8.967,0
3.9259,1.93,8.967,0
3.9184,1.94,8.967,0
3.9109,1.95,8.967,0
3.9033,1.96,8.967,0
3.8958,1.97,8.967,0
3.8883,1.98,8.967,0
3.8807,1.99,8.967,0
3.8732,2,8.967,0
3.867,2.01,8.967,0
3.8607,2.02,8.967,0
