"phi_g8_eig_1","Points:0","Points:1","Points:2"
0.088208,-127,0,0
0.11832,-126.75,0,0
0.14842,-126.49,0,0
0.17853,-126.24,0,0
0.20864,-125.98,0,0
0.23875,-125.73,0,0
0.26885,-125.48,0,0
0.29896,-125.22,0,0
0.32907,-124.97,0,0
0.35918,-124.71,0,0
0.38928,-124.46,0,0
0.41939,-124.21,0,0
0.45038,-123.95,0,0
0.48326,-123.7,0,0
0.51613,-123.44,0,0
0.54901,-123.19,0,0
0.58189,-122.94,0,0
0.61476,-122.68,0,0
0.64764,-122.43,0,0
0.68051,-122.17,0,0
0.71339,-121.92,0,0
0.74626,-121.67,0,0
0.77914,-121.41,0,0
0.81202,-121.16,0,0
0.84905,-120.9,0,0
0.88845,-120.65,0,0
0.92784,-120.4,0,0
0.96724,-120.14,0,0
1.0066,-119.89,0,0
1.046,-119.63,0,0
1.0854,-119.38,0,0
1.1248,-119.13,0,0
1.1642,-118.87,0,0
1.2036,-118.62,0,0
1.243,-118.36,0,0
1.2824,-118.11,0,0
1.3299,-117.86,0,0
1.3778,-117.6,0,0
1.4256,-117.35,0,0
1.4735,-117.09,0,0
1.5214,-116.84,0,0
1.5692,-116.59,0,0
1.6171,-116.33,0,0
1.6649,-116.08,0,0
1.7128,-115.82,0,0
1.7607,-115.57,0,0
1.8085,-115.32,0,0
1.8595,-115.06,0,0
1.9184,-114.81,0,0
1.9773,-114.55,0,0
2.0362,-114.3,0,0
2.0952,-114.05,0,0
2.1541,-113.79,0,0
2.213,-113.54,0,0
2.272,-113.28,0,0
2.3309,-113.03,0,0
2.3898,-112.78,0,0
2.4488,-112.52,0,0
2.5077,-112.27,0,0
2.5737,-112.01,0,0
2.6447,-111.76,0,0
2.7156,-111.51,0,0
2.7865,-111.25,0,0
2.8575,-111,0,0
2.9284,-110.74,0,0
2.9994,-110.49,0,0
3.0703,-110.24,0,0
3.1412,-109.98,0,0
3.2122,-109.73,0,0
3.2831,-109.47,0,0
3.354,-109.22,0,0
3.4332,-108.97,0,0
3.5134,-108.71,0,0
3.5938,-108.46,0,0
3.6745,-108.2,0,0
3.7555,-107.95,0,0
3.8367,-107.7,0,0
3.9182,-107.44,0,0
4.0001,-107.19,0,0
4.0822,-106.93,0,0
4.1647,-106.68,0,0
4.2476,-106.43,0,0
4.3309,-106.17,0,0
4.4145,-105.92,0,0
4.4986,-105.66,0,0
4.5825,-105.41,0,0
4.6663,-105.16,0,0
4.7497,-104.9,0,0
4.8329,-104.65,0,0
4.9157,-104.39,0,0
4.9983,-104.14,0,0
5.0804,-103.89,0,0
5.1621,-103.63,0,0
5.2433,-103.38,0,0
5.3238,-103.12,0,0
5.3971,-102.87,0,0
5.4694,-102.62,0,0
5.5406,-102.36,0,0
5.6104,-102.11,0,0
5.6785,-101.85,0,0
5.7444,-101.6,0,0
5.8045,-101.35,0,0
5.8518,-101.09,0,0
5.8991,-100.84,0,0
5.9465,-100.58,0,0
5.9938,-100.33,0,0
6.038,-100.08,0,0
6.0512,-99.822,0,0
6.0643,-99.568,0,0
6.0774,-99.314,0,0
6.0906,-99.06,0,0
6.1037,-98.806,0,0
6.061,-98.552,0,0
6.0168,-98.298,0,0
5.9727,-98.044,0,0
5.9285,-97.79,0,0
5.8844,-97.536,0,0
5.7991,-97.282,0,0
5.6933,-97.028,0,0
5.5673,-96.774,0,0
5.4445,-96.52,0,0
5.26,-96.266,0,0
5.0663,-96.012,0,0
4.8046,-95.758,0,0
4.5059,-95.504,0,0
4.088,-95.25,0,0
3.5717,-94.996,0,0
2.8529,-94.742,0,0
2.1707,-94.488,0,0
1.8618,-94.234,0,0
1.5766,-93.98,0,0
1.3463,-93.726,0,0
1.1675,-93.472,0,0
1.0146,-93.218,0,0
0.91469,-92.964,0,0
0.82693,-92.71,0,0
0.75755,-92.456,0,0
0.70167,-92.202,0,0
0.65416,-91.948,0,0
0.62092,-91.694,0,0
0.59226,-91.44,0,0
0.57187,-91.186,0,0
0.55816,-90.932,0,0
0.55077,-90.678,0,0
0.55144,-90.424,0,0
