"phi_g8_eig_1","Points:0","Points:1","Points:2"
0.058155,0,-127,0
0.078163,0,-126.75,0
0.098263,0,-126.49,0
0.11845,0,-126.24,0
0.13874,0,-125.98,0
0.15913,0,-125.73,0
0.17961,0,-125.48,0
0.20019,0,-125.22,0
0.22088,0,-124.97,0
0.24167,0,-124.71,0
0.26257,0,-124.46,0
0.28358,0,-124.21,0
0.30471,0,-123.95,0
0.32595,0,-123.7,0
0.34731,0,-123.44,0
0.36878,0,-123.19,0
0.39039,0,-122.94,0
0.41212,0,-122.68,0
0.43398,0,-122.43,0
0.45597,0,-122.17,0
0.4781,0,-121.92,0
0.50037,0,-121.67,0
0.52279,0,-121.41,0
0.54535,0,-121.16,0
0.56807,0,-120.9,0
0.59094,0,-120.65,0
0.61398,0,-120.4,0
0.63718,0,-120.14,0
0.66055,0,-119.89,0
0.68531,0,-119.63,0
0.71259,0,-119.38,0
0.74012,0,-119.13,0
0.7679,0,-118.87,0
0.79847,0,-118.62,0
0.82958,0,-118.36,0
0.86093,0,-118.11,0
0.89254,0,-117.86,0
0.92441,0,-117.6,0
0.95655,0,-117.35,0
0.98896,0,-117.09,0
1.0217,0,-116.84,0
1.0547,0,-116.59,0
1.088,0,-116.33,0
1.1217,0,-116.08,0
1.1557,0,-115.82,0
1.1901,0,-115.57,0
1.2248,0,-115.32,0
1.26,0,-115.06,0
1.2955,0,-114.81,0
1.3315,0,-114.55,0
1.368,0,-114.3,0
1.4053,0,-114.05,0
1.4477,0,-113.79,0
1.4905,0,-113.54,0
1.5337,0,-113.28,0
1.5774,0,-113.03,0
1.6241,0,-112.78,0
1.6719,0,-112.52,0
1.7201,0,-112.27,0
1.7686,0,-112.01,0
1.8176,0,-111.76,0
1.867,0,-111.51,0
1.9169,0,-111.25,0
1.9674,0,-111,0
2.0185,0,-110.74,0
2.0702,0,-110.49,0
2.1227,0,-110.24,0
2.1813,0,-109.98,0
2.2457,0,-109.73,0
2.3102,0,-109.47,0
2.3747,0,-109.22,0
2.4393,0,-108.97,0
2.5039,0,-108.71,0
2.5685,0,-108.46,0
2.6331,0,-108.2,0
2.6978,0,-107.95,0
2.7626,0,-107.7,0
2.8273,0,-107.44,0
2.8921,0,-107.19,0
2.9651,0,-106.93,0
3.0477,0,-106.68,0
3.1304,0,-106.43,0
3.2131,0,-106.17,0
3.2958,0,-105.92,0
3.3785,0,-105.66,0
3.4612,0,-105.41,0
3.5439,0,-105.16,0
3.6267,0,-104.9,0
3.7095,0,-104.65,0
3.7922,0,-104.39,0
3.875,0,-104.14,0
3.9698,0,-103.89,0
4.0732,0,-103.63,0
4.1765,0,-103.38,0
4.2798,0,-103.12,0
4.3832,0,-102.87,0
4.4865,0,-102.62,0
4.5899,0,-102.36,0
4.6932,0,-102.11,0
4.7966,0,-101.85,0
4.8999,0,-101.6,0
5.0033,0,-101.35,0
5.1066,0,-101.09,0
5.2214,0,-100.84,0
5.3395,0,-100.58,0
5.4579,0,-100.33,0
5.5767,0,-100.08,0
5.6969,0,-99.822,0
5.8231,0,-99.568,0
5.9498,0,-99.314,0
6.077,0,-99.06,0
6.2047,0,-98.806,0
6.3329,0,-98.552,0
6.4656,0,-98.298,0
6.6006,0,-98.044,0
6.7363,0,-97.79,0
6.8728,0,-97.536,0
7.01,0,-97.282,0
7.1478,0,-97.028,0
7.287,0,-96.774,0
7.4274,0,-96.52,0
7.5703,0,-96.266,0
7.7138,0,-96.012,0
7.8578,0,-95.758,0
8.0023,0,-95.504,0
8.1472,0,-95.25,0
8.2924,0,-94.996,0
8.438,0,-94.742,0
8.5838,0,-94.488,0
8.7298,0,-94.234,0
8.8746,0,-93.98,0
9.0187,0,-93.726,0
9.1624,0,-93.472,0
9.3058,0,-93.218,0
9.4489,0,-92.964,0
9.5917,0,-92.71,0
9.7298,0,-92.456,0
9.8648,0,-92.202,0
9.9993,0,-91.948,0
10.133,0,-91.694,0
10.267,0,-91.44,0
10.392,0,-91.186,0
10.514,0,-90.932,0
10.631,0,-90.678,0
10.743,0,-90.424,0
10.851,0,-90.17,0
10.949,0,-89.916,0
11.046,0,-89.662,0
11.132,0,-89.408,0
11.21,0,-89.154,0
11.283,0,-88.9,0
11.34,0,-88.646,0
11.387,0,-88.392,0
11.427,0,-88.138,0
11.459,0,-87.884,0
11.463,0,-87.63,0
11.452,0,-87.376,0
11.428,0,-87.122,0
11.392,0,-86.868,0
11.347,0,-86.614,0
11.25,0,-86.36,0
11.151,0,-86.106,0
11.025,0,-85.852,0
10.877,0,-85.598,0
10.718,0,-85.344,0
10.505,0,-85.09,0
10.292,0,-84.836,0
10.001,0,-84.582,0
9.6836,0,-84.328,0
9.3189,0,-84.074,0
8.865,0,-83.82,0
8.4112,0,-83.566,0
7.6073,0,-83.312,0
6.7835,0,-83.058,0
5.6929,0,-82.804,0
4.427,0,-82.55,0
3.5583,0,-82.296,0
3.0207,0,-82.042,0
2.531,0,-81.788,0
2.1905,0,-81.534,0
1.8857,0,-81.28,0
1.6666,0,-81.026,0
1.4902,0,-80.772,0
1.3541,0,-80.518,0
1.234,0,-80.264,0
1.144,0,-80.01,0
1.0702,0,-79.756,0
1.0082,0,-79.502,0
0.96356,0,-79.248,0
0.9308,0,-78.994,0
0.90969,0,-78.74,0
0.8992,0,-78.486,0
0.89828,0,-78.232,0
0.90557,0,-77.978,0
0.92695,0,-77.724,0
0.95625,0,-77.47,0
0.99497,0,-77.216,0
1.0479,0,-76.962,0
1.1148,0,-76.708,0
1.1968,0,-76.454,0
1.2999,0,-76.2,0
1.4153,0,-75.946,0
1.5634,0,-75.692,0
1.7408,0,-75.438,0
1.9442,0,-75.184,0
2.2089,0,-74.93,0
2.5072,0,-74.676,0
2.9561,0,-74.422,0
3.4622,0,-74.168,0
4.1442,0,-73.914,0
4.9465,0,-73.66,0
5.9652,0,-73.406,0
7.9076,0,-73.152,0
9.7985,0,-72.898,0
11.099,0,-72.644,0
12.4,0,-72.39,0
13.271,0,-72.136,0
14.015,0,-71.882,0
14.678,0,-71.628,0
15.203,0,-71.374,0
15.729,0,-71.12,0
16.09,0,-70.866,0
16.445,0,-70.612,0
16.736,0,-70.358,0
16.978,0,-70.104,0
17.206,0,-69.85,0
17.363,0,-69.596,0
17.52,0,-69.342,0
17.604,0,-69.088,0
17.665,0,-68.834,0
17.727,0,-68.58,0
17.789,0,-68.326,0
17.85,0,-68.072,0
17.91,0,-67.818,0
17.943,0,-67.564,0
17.977,0,-67.31,0
18.011,0,-67.056,0
18.044,0,-66.802,0
18.078,0,-66.548,0
18.141,0,-66.294,0
18.247,0,-66.04,0
18.354,0,-65.786,0
18.46,0,-65.532,0
18.566,0,-65.278,0
18.673,0,-65.024,0
18.866,0,-64.77,0
19.092,0,-64.516,0
19.319,0,-64.262,0
19.546,0,-64.008,0
19.773,0,-63.754,0
20.002,0,-63.5,0
20.288,0,-63.246,0
20.574,0,-62.992,0
20.859,0,-62.738,0
21.145,0,-62.484,0
21.431,0,-62.23,0
21.69,0,-61.976,0
21.9,0,-61.722,0
22.11,0,-61.468,0
22.321,0,-61.214,0
22.531,0,-60.96,0
22.741,0,-60.706,0
22.843,0,-60.452,0
22.89,0,-60.198,0
22.901,0,-59.944,0
22.81,0,-59.69,0
22.719,0,-59.436,0
22.468,0,-59.182,0
22.192,0,-58.928,0
21.786,0,-58.674,0
21.23,0,-58.42,0
20.652,0,-58.166,0
19.735,0,-57.912,0
18.819,0,-57.658,0
17.318,0,-57.404,0
15.516,0,-57.15,0
13.409,0,-56.896,0
10.55,0,-56.642,0
8.1662,0,-56.388,0
6.8619,0,-56.134,0
5.7696,0,-55.88,0
4.9368,0,-55.626,0
4.2855,0,-55.372,0
3.7338,0,-55.118,0
3.3315,0,-54.864,0
3.0076,0,-54.61,0
2.738,0,-54.356,0
2.5155,0,-54.102,0
2.3414,0,-53.848,0
2.1999,0,-53.594,0
2.0795,0,-53.34,0
1.9929,0,-53.086,0
1.9328,0,-52.832,0
1.8927,0,-52.578,0
1.8755,0,-52.324,0
1.879,0,-52.07,0
1.9022,0,-51.816,0
1.9437,0,-51.562,0
2.0028,0,-51.308,0
2.0918,0,-51.054,0
2.2055,0,-50.8,0
2.3494,0,-50.546,0
2.5339,0,-50.292,0
2.7414,0,-50.038,0
2.9975,0,-49.784,0
3.3042,0,-49.53,0
3.6846,0,-49.276,0
4.1397,0,-49.022,0
4.6765,0,-48.768,0
5.434,0,-48.514,0
6.3377,0,-48.26,0
7.432,0,-48.006,0
8.9488,0,-47.752,0
10.663,0,-47.498,0
14.069,0,-47.244,0
17.855,0,-46.99,0
20.452,0,-46.736,0
22.883,0,-46.482,0
24.783,0,-46.228,0
26.122,0,-45.974,0
27.424,0,-45.72,0
28.329,0,-45.466,0
29.235,0,-45.212,0
29.908,0,-44.958,0
30.473,0,-44.704,0
30.976,0,-44.45,0
31.318,0,-44.196,0
31.66,0,-43.942,0
31.855,0,-43.688,0
32.03,0,-43.434,0
32.111,0,-43.18,0
32.088,0,-42.926,0
32.066,0,-42.672,0
32.044,0,-42.418,0
32.021,0,-42.164,0
31.999,0,-41.91,0
31.918,0,-41.656,0
31.822,0,-41.402,0
31.725,0,-41.148,0
31.629,0,-40.894,0
31.533,0,-40.64,0
31.45,0,-40.386,0
31.468,0,-40.132,0
31.487,0,-39.878,0
31.506,0,-39.624,0
31.525,0,-39.37,0
31.544,0,-39.116,0
31.65,0,-38.862,0
31.871,0,-38.608,0
32.092,0,-38.354,0
32.314,0,-38.1,0
32.535,0,-37.846,0
32.756,0,-37.592,0
33.056,0,-37.338,0
33.383,0,-37.084,0
33.709,0,-36.83,0
34.036,0,-36.576,0
34.362,0,-36.322,0
34.682,0,-36.068,0
34.903,0,-35.814,0
35.125,0,-35.56,0
35.346,0,-35.306,0
35.567,0,-35.052,0
35.789,0,-34.798,0
35.917,0,-34.544,0
35.896,0,-34.29,0
35.875,0,-34.036,0
35.65,0,-33.782,0
35.421,0,-33.528,0
35.031,0,-33.274,0
34.525,0,-33.02,0
33.945,0,-32.766,0
33.019,0,-32.512,0
32.094,0,-32.258,0
30.751,0,-32.004,0
29.288,0,-31.75,0
27.325,0,-31.496,0
24.525,0,-31.242,0
21.725,0,-30.988,0
17.31,0,-30.734,0
12.991,0,-30.48,0
11.084,0,-30.226,0
9.3217,0,-29.972,0
7.8799,0,-29.718,0
6.7714,0,-29.464,0
5.8145,0,-29.21,0
5.1836,0,-28.956,0
4.6272,0,-28.702,0
4.1878,0,-28.448,0
3.8238,0,-28.194,0
3.5106,0,-27.94,0
3.2843,0,-27.686,0
3.082,0,-27.432,0
2.9271,0,-27.178,0
2.8087,0,-26.924,0
2.7238,0,-26.67,0
2.6795,0,-26.416,0
2.6579,0,-26.162,0
2.6598,0,-25.908,0
2.6948,0,-25.654,0
2.7588,0,-25.4,0
2.854,0,-25.146,0
2.9811,0,-24.892,0
3.1464,0,-24.638,0
3.3593,0,-24.384,0
3.6214,0,-24.13,0
3.9385,0,-23.876,0
4.3001,0,-23.622,0
4.7898,0,-23.368,0
5.3427,0,-23.114,0
6.028,0,-22.86,0
6.9234,0,-22.606,0
8.1052,0,-22.352,0
9.4783,0,-22.098,0
11.367,0,-21.844,0
13.433,0,-21.59,0
17.127,0,-21.336,0
22,0,-21.082,0
25.934,0,-20.828,0
29.098,0,-20.574,0
31.972,0,-20.32,0
33.681,0,-20.066,0
35.389,0,-19.812,0
36.635,0,-19.558,0
37.762,0,-19.304,0
38.71,0,-19.05,0
39.384,0,-18.796,0
40.059,0,-18.542,0
40.435,0,-18.288,0
40.81,0,-18.034,0
41.053,0,-17.78,0
41.204,0,-17.526,0
41.306,0,-17.272,0
41.193,0,-17.018,0
41.081,0,-16.764,0
40.968,0,-16.51,0
40.856,0,-16.256,0
40.743,0,-16.002,0
40.577,0,-15.748,0
40.36,0,-15.494,0
40.142,0,-15.24,0
39.924,0,-14.986,0
39.706,0,-14.732,0
39.488,0,-14.478,0
39.384,0,-14.224,0
39.304,0,-13.97,0
39.223,0,-13.716,0
39.143,0,-13.462,0
39.063,0,-13.208,0
39.019,0,-12.954,0
39.188,0,-12.7,0
39.357,0,-12.446,0
39.526,0,-12.192,0
39.696,0,-11.938,0
39.865,0,-11.684,0
40.096,0,-11.43,0
40.399,0,-11.176,0
40.703,0,-10.922,0
41.006,0,-10.668,0
41.31,0,-10.414,0
41.613,0,-10.16,0
41.825,0,-9.906,0
42.01,0,-9.652,0
42.196,0,-9.398,0
42.381,0,-9.144,0
42.566,0,-8.89,0
42.725,0,-8.636,0
42.628,0,-8.382,0
42.532,0,-8.128,0
