"Material_id","Power_eig0","phi_assembly_g_0_eig0","phi_assembly_g_1_eig0","phi_assembly_g_2_eig0","phi_assembly_g_3_eig0","phi_assembly_g_4_eig0","phi_assembly_g_5_eig0","phi_assembly_g_6_eig0","phi_assembly_g_7_eig0","phi_g1_eig_1","phi_g2_eig_1","phi_g3_eig_1","phi_g4_eig_1","phi_g5_eig_1","phi_g6_eig_1","phi_g7_eig_1","phi_g8_eig_1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.14494,0.095587,0.075128,0.026128,0.098902,0.22481,0.21632,0.089759,1,0,-127,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.15244,0.1079,0.088605,0.031101,0.12235,0.28401,0.2803,0.12028,1,0.254,-126.75,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.15994,0.12021,0.10208,0.036073,0.14581,0.3432,0.34427,0.1508,1,0.508,-126.49,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.16745,0.13252,0.11556,0.041045,0.16926,0.40239,0.40825,0.18133,1,0.762,-126.24,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.17495,0.14484,0.12904,0.046017,0.19271,0.46159,0.47222,0.21185,1,1.016,-125.98,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.18246,0.15715,0.14251,0.050989,0.21616,0.52078,0.53619,0.24237,1,1.27,-125.73,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.18996,0.16946,0.15599,0.055961,0.23961,0.57997,0.60017,0.2729,1,1.524,-125.48,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.19747,0.18177,0.16947,0.060933,0.26307,0.63917,0.66414,0.30342,1,1.778,-125.22,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.20497,0.19408,0.18294,0.065905,0.28652,0.69836,0.72812,0.33394,1,2.032,-124.97,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.21248,0.2064,0.19642,0.070877,0.30997,0.75755,0.79209,0.36446,1,2.286,-124.71,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.21998,0.21871,0.2099,0.075849,0.33342,0.81675,0.85606,0.39499,1,2.54,-124.46,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.22748,0.23102,0.22337,0.080821,0.35687,0.87594,0.92004,0.42551,1,2.794,-124.21,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.23569,0.24377,0.23744,0.086051,0.38153,0.93788,0.9865,0.4569,1,3.048,-123.95,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.24539,0.25744,0.25275,0.09183,0.40878,1.0057,1.0583,0.49014,1,3.302,-123.7,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.25509,0.27111,0.26807,0.09761,0.43602,1.0735,1.13,0.52339,1,3.556,-123.44,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.26479,0.28478,0.28338,0.10339,0.46327,1.1413,1.2018,0.55663,1,3.81,-123.19,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.27449,0.29845,0.2987,0.10917,0.49051,1.209,1.2736,0.58987,1,4.064,-122.94,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.28419,0.31212,0.31401,0.11495,0.51776,1.2768,1.3453,0.62312,1,4.318,-122.68,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.2939,0.32579,0.32932,0.12073,0.545,1.3446,1.4171,0.65636,1,4.572,-122.43,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.3036,0.33946,0.34464,0.12651,0.57225,1.4124,1.4889,0.6896,1,4.826,-122.17,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.3133,0.35313,0.35995,0.13229,0.59949,1.4802,1.5606,0.72285,1,5.08,-121.92,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.323,0.36681,0.37527,0.13807,0.62674,1.548,1.6324,0.75609,1,5.334,-121.67,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.3327,0.38048,0.39058,0.14385,0.65398,1.6158,1.7042,0.78933,1,5.588,-121.41,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.3424,0.39415,0.4059,0.14963,0.68123,1.6836,1.7759,0.82258,1,5.842,-121.16,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.3545,0.41083,0.42452,0.15654,0.71212,1.76,1.8567,0.86003,1,6.096,-120.9,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.36796,0.42923,0.44503,0.1641,0.74509,1.8413,1.9426,0.89987,1,6.35,-120.65,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.38141,0.44763,0.46554,0.17165,0.77805,1.9227,2.0285,0.93972,1,6.604,-120.4,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.39487,0.46604,0.48605,0.17921,0.81102,2.004,2.1144,0.97957,1,6.858,-120.14,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.40833,0.48444,0.50656,0.18677,0.84398,2.0853,2.2002,1.0194,1,7.112,-119.89,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.42179,0.50284,0.52706,0.19432,0.87694,2.1666,2.2861,1.0593,1,7.366,-119.63,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.43525,0.52124,0.54757,0.20188,0.90991,2.248,2.372,1.0991,1,7.62,-119.38,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.4487,0.53964,0.56808,0.20944,0.94287,2.3293,2.4579,1.1389,1,7.874,-119.13,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.46216,0.55804,0.58859,0.217,0.97584,2.4106,2.5438,1.1788,1,8.128,-118.87,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.47562,0.57644,0.6091,0.22455,1.0088,2.492,2.6296,1.2186,1,8.382,-118.62,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.48908,0.59484,0.62961,0.23211,1.0418,2.5733,2.7155,1.2585,1,8.636,-118.36,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.50254,0.61324,0.65011,0.23967,1.0747,2.6546,2.8014,1.2983,1,8.89,-118.11,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.52158,0.63956,0.6792,0.24999,1.115,2.7528,2.9049,1.3462,1,9.144,-117.86,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.54087,0.66625,0.70867,0.26044,1.1555,2.8518,3.0091,1.3945,1,9.398,-117.6,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.56017,0.69294,0.73815,0.27088,1.1961,2.9508,3.1134,1.4428,1,9.652,-117.35,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.57946,0.71962,0.76762,0.28133,1.2366,3.0497,3.2177,1.4911,1,9.906,-117.09,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.59875,0.74631,0.7971,0.29178,1.2772,3.1487,3.3219,1.5394,1,10.16,-116.84,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.61805,0.77299,0.82657,0.30223,1.3177,3.2477,3.4262,1.5877,1,10.414,-116.59,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.63734,0.79968,0.85604,0.31267,1.3583,3.3467,3.5305,1.636,1,10.668,-116.33,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.65664,0.82636,0.88552,0.32312,1.3988,3.4457,3.6347,1.6843,1,10.922,-116.08,0,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,0.67593,0.85305,0.91499,0.33357,1.4394,3.5446,3.739,1.7325,1,11.176,-115.82,0,0
